satisfaccion_laboral,ultima_evaluacion_desempeño,average_montly_hours,time_spend_company,fue_promocionado,Department,ultima_evaluacion_superior,salida,edad,estado_civil,ausencias_90d,tardanzas_90d,salidas_tempranas_90d,horas_extras_90d
0.38,0.53,157,3,0,sales,0.4923620357,2,45,0,2,3,0,1
0.8,0.86,262,6,0,sales,0.9952142919,1,49,2,1,2,3,1
0.11,0.88,272,4,0,sales,0.9495981825,2,43,0,0,0,1,1
0.72,0.87,223,5,0,sales,0.8995975453,1,37,1,2,5,1,3
0.37,0.52,159,3,0,sales,0.4168055921,2,34,0,0,2,1,2
0.41,0.5,153,3,0,sales,0.3967983561,1,57,1,2,1,1,4
0.1,0.77,247,4,0,sales,0.6374250837,1,57,0,3,1,1,3
0.92,0.85,259,5,0,sales,0.9598528437,1,44,2,2,1,1,2
0.89,1,224,5,0,sales,1,1,35,0,1,1,1,3
0.42,0.53,142,3,0,sales,0.5924217733,1,53,1,1,2,0,7
0.45,0.54,135,3,0,sales,0.3961753483,1,24,2,0,3,0,6
0.11,0.81,305,4,0,sales,0.9509729556,2,48,2,1,2,0,3
0.84,0.92,234,5,0,sales,1,1,40,1,0,1,1,4
0.41,0.55,148,3,0,sales,0.4637017332,1,43,2,1,1,1,6
0.36,0.56,137,3,0,sales,0.4645474902,2,22,1,0,1,2,2
0.38,0.54,143,3,0,sales,0.445021353,2,26,1,6,0,2,0
0.45,0.47,160,3,0,sales,0.4112726729,1,54,1,2,1,2,1
0.78,0.99,255,6,0,sales,0.9974269295,2,40,0,3,1,1,7
0.45,0.51,160,3,1,sales,0.4895835056,1,57,1,1,3,0,5
0.76,0.89,262,5,0,sales,0.8273687421,1,27,1,3,3,1,3
0.11,0.83,282,4,0,sales,0.8635558684,1,36,1,2,4,1,2
0.38,0.55,147,3,0,sales,0.4418481582,2,57,1,1,2,2,4
0.09,0.95,304,4,0,sales,0.8876433946,1,54,1,1,1,0,4
0.46,0.57,139,3,0,sales,0.529908553,1,45,1,5,1,1,2
0.4,0.53,158,3,0,sales,0.5168209953,2,48,1,1,2,0,1
0.89,0.92,242,5,0,sales,1,2,32,1,0,2,0,3
0.82,0.87,239,5,0,sales,0.7799021346,1,44,1,4,1,2,6
0.4,0.49,135,3,0,sales,0.4942703315,2,54,2,2,2,0,5
0.41,0.46,128,3,0,accounting,0.4877243707,2,50,2,2,1,3,4
0.38,0.5,132,3,0,accounting,0.3639351238,1,52,1,2,2,1,8
0.09,0.62,294,4,0,accounting,0.6522634556,2,22,1,1,4,1,3
0.45,0.57,134,3,0,hr,0.4711572371,1,55,2,1,2,2,6
0.4,0.51,145,3,0,hr,0.3795154779,2,39,0,3,3,0,1
0.45,0.55,140,3,0,hr,0.6846656612,1,39,0,1,1,2,2
0.84,0.87,246,6,0,hr,1,1,27,1,0,2,1,3
0.1,0.94,255,4,0,technical,1,2,22,1,1,4,2,5
