id_candidato,anios_experiencia,nivel_educativo,skills_deseables_ratio,peso_certificaciones,decision_final
1602,0.7,universitario,0.51,0,0
2687,5.5,terciario,0.72,8,0
2754,9.5,terciario,0.64,15,0
1156,0.9,secundario,0.07,0,0
806,0.8,secundario,0.34,0,0
207,1.1,secundario,0.18,1,0
690,0.1,terciario,0.18,2,1
2569,0.5,universitario,0.5,0,0
2514,0.2,universitario,0.48,4,0
1701,0.4,universitario,0.72,2,0
2565,0.7,universitario,0.61,4,0
329,1.0,terciario,0.08,1,0
1016,0.4,terciario,0.2,0,0
895,1.3,secundario,0.21,0,0
3122,3.3,terciario,0.65,7,1
3644,9.6,universitario,0.6,10,0
1174,1.0,secundario,0.14,0,0
3452,4.0,universitario,0.61,6,0
1845,0.3,universitario,0.52,4,0
1185,0.0,secundario,0.18,1,0
1027,0.3,secundario,0.0,1,0
3150,4.8,terciario,0.6,7,1
1218,1.4,secundario,0.06,0,0
743,0.2,secundario,0.25,0,0
4868,0.9,universitario,0.96,23,1
602,0.5,secundario,0.16,0,0
4167,11.2,universitario,0.8,5,1
434,0.8,secundario,0.17,3,0
4785,1.0,universitario,0.92,22,1
587,0.8,secundario,0.17,0,0
2063,0.9,universitario,0.52,2,0
494,0.4,terciario,0.25,0,0
4943,1.1,universitario,0.92,20,1
4967,0.6,universitario,0.96,22,0
1856,0.3,universitario,0.47,2,0
2616,5.4,terciario,0.5,11,0
3686,7.8,terciario,0.72,15,1
4416,23.5,universitario,0.7,6,1
5067,0.9,universitario,1.0,21,1
2200,0.6,universitario,0.63,0,0
3700,3.0,universitario,0.53,9,0
4222,18.3,universitario,0.6,10,1
130,1.7,secundario,0.33,0,0
166,0.0,terciario,0.24,1,0
939,0.9,secundario,0.01,0,0
4007,17.3,universitario,0.74,6,1
3874,18.5,universitario,0.73,6,1
4736,0.3,universitario,0.92,22,1
3262,9.5,terciario,0.59,7,0
2760,6.7,universitario,0.72,7,1
4716,1.4,universitario,0.99,23,1
4729,0.9,universitario,0.98,20,1
2552,0.6,universitario,0.47,0,0
2947,4.9,universitario,0.59,10,0
1245,0.2,secundario,0.28,1,0
3179,4.1,universitario,0.72,14,1
1204,1.0,secundario,0.1,0,0
269,0.3,secundario,0.26,1,0
1771,0.0,universitario,0.63,0,0
2671,6.3,terciario,0.64,13,1
2478,0.5,universitario,0.56,1,0
4496,21.8,universitario,0.88,7,1
4358,20.7,terciario,0.79,6,1
3963,19.9,terciario,0.78,11,1
124,1.8,secundario,0.04,0,0
2734,5.1,terciario,0.75,11,0
3441,3.2,terciario,0.64,11,0
2316,0.5,universitario,0.56,4,0
3783,6.4,universitario,0.58,10,0
4825,1.2,universitario,0.9,24,1
2008,0.7,universitario,0.75,1,1
185,0.9,secundario,0.09,0,0
328,1.1,secundario,0.13,1,0
397,0.8,secundario,0.29,1,0
1102,1.1,secundario,0.16,0,0
2239,0.5,universitario,0.59,0,0
812,0.0,secundario,0.03,1,0
2902,8.1,terciario,0.74,19,0
2628,8.7,terciario,0.61,14,0
3853,14.4,universitario,0.73,5,1
3422,3.0,terciario,0.6,18,0
3282,4.3,terciario,0.74,14,0
4284,13.9,terciario,0.75,9,1
1716,0.3,universitario,0.62,2,0
3125,3.7,terciario,0.65,18,0
1514,0.7,secundario,0.0,1,0
864,0.6,secundario,0.34,1,0
756,1.0,secundario,0.31,1,0
4898,1.2,universitario,0.94,21,1
3950,13.7,universitario,0.79,4,1
4254,19.7,terciario,0.7,2,1
569,1.3,secundario,0.0,1,0
258,1.2,secundario,0.25,1,0
1396,0.0,secundario,0.24,2,0
598,0.6,secundario,0.1,0,0
4841,1.3,universitario,0.96,20,1
3041,7.2,terciario,0.72,13,0
3557,6.8,universitario,0.62,11,0
474,0.6,terciario,0.25,0,0
180,0.0,secundario,0.3,0,0
1654,0.4,universitario,0.64,1,0
1770,0.7,universitario,0.66,0,0
2232,0.4,universitario,0.67,4,0
4540,17.1,terciario,0.65,0,1
566,1.7,secundario,0.0,2,0
349,0.7,secundario,0.17,1,0
1032,1.5,terciario,0.05,1,0
1436,0.4,secundario,0.24,0,0
4625,1.0,universitario,1.0,24,1
1439,0.6,secundario,0.16,0,0
1507,0.1,secundario,0.35,0,0
1191,0.8,secundario,0.2,0,0
4310,10.0,terciario,0.8,8,1
843,0.6,secundario,0.34,1,0
2424,0.6,universitario,0.62,1,0
3702,7.7,terciario,0.7,5,0
2224,0.4,universitario,0.35,1,0
2195,0.1,universitario,0.55,1,0
341,1.4,secundario,0.2,0,0
2452,0.8,universitario,0.46,5,0
1471,0.3,secundario,0.0,1,0
1158,0.9,terciario,0.25,2,0
4917,1.3,universitario,0.97,21,1
300,0.3,secundario,0.19,0,0
2381,0.4,universitario,0.5,2,0
4850,1.3,universitario,0.9,22,1
2321,0.2,universitario,0.58,4,0
4872,1.1,universitario,0.91,21,1
2920,5.4,universitario,0.64,14,0
3251,7.6,terciario,0.43,9,1
4357,22.2,universitario,0.71,5,1
3208,6.5,universitario,0.67,14,1
2074,0.5,universitario,0.57,3,0
1476,0.4,secundario,0.38,1,0
4069,26.8,universitario,0.8,7,1
4163,15.8,terciario,0.68,5,1
4546,16.7,terciario,0.75,3,1
3658,6.7,universitario,0.72,13,1
1065,0.1,secundario,0.03,0,0
280,1.4,secundario,0.32,0,0
3799,3.0,universitario,0.71,8,0
3922,17.3,terciario,0.59,6,1
4979,1.7,universitario,0.98,23,0
4000,20.5,universitario,0.79,4,1
4588,14.8,terciario,0.84,0,1
3339,6.4,terciario,0.56,5,0
3075,5.3,universitario,0.61,7,1
3681,7.9,terciario,0.4,6,1
2988,4.9,universitario,0.81,5,0
2676,6.3,terciario,0.4,10,1
1520,0.8,secundario,0.12,2,0
4008,15.6,terciario,0.94,7,1
4774,2.0,universitario,0.97,22,1
5003,0.4,universitario,0.99,22,0
1961,0.7,universitario,0.63,0,0
109,1.0,secundario,0.2,0,0
2995,6.3,terciario,0.48,10,0
2948,5.5,universitario,0.57,6,0
3765,5.4,universitario,0.49,18,0
245,1.4,terciario,0.33,1,0
2205,0.6,universitario,0.74,1,0
3244,7.0,universitario,0.57,10,0
942,0.2,secundario,0.19,2,0
1229,1.5,secundario,0.15,1,0
252,1.0,secundario,0.08,0,0
3692,3.0,universitario,0.65,11,1
1153,0.3,terciario,0.21,0,0
1691,0.1,universitario,0.75,3,0
3109,6.6,terciario,0.59,10,1
2130,0.8,universitario,0.6,0,0
3519,7.3,terciario,0.6,7,0
1908,0.6,universitario,0.52,1,0
2797,6.7,universitario,0.72,10,1
3140,5.7,universitario,0.46,9,0
573,1.2,terciario,0.1,1,0
3390,3.9,terciario,0.49,8,0
4175,23.4,universitario,0.69,14,1
3597,7.6,universitario,0.75,7,1
380,0.6,secundario,0.04,1,0
1842,0.5,universitario,0.75,2,0
4725,1.1,universitario,0.99,22,1
2987,8.8,terciario,0.58,11,0
2042,0.4,universitario,0.58,0,0
201,1.1,secundario,0.0,0,0
2905,7.1,terciario,0.64,9,1
3671,6.2,terciario,0.56,9,1
3785,3.0,universitario,0.68,11,0
3762,6.0,terciario,0.85,7,0
631,0.9,secundario,0.26,0,0
1987,0.4,universitario,0.69,3,0
782,0.8,secundario,0.35,1,0
3895,15.3,terciario,0.77,4,1
4045,21.1,terciario,0.75,3,1
4767,1.3,universitario,0.9,23,1
2119,0.0,universitario,0.71,0,0
1197,1.0,secundario,0.25,0,0
930,0.2,secundario,0.19,1,0
2906,4.0,terciario,0.55,12,0
3930,19.6,terciario,0.82,0,1
4482,18.6,terciario,0.86,0,1
3992,19.1,universitario,0.72,6,1
865,0.4,terciario,0.15,1,0
2868,8.1,terciario,0.49,13,0
4429,18.8,terciario,1.0,0,1
3396,8.0,universitario,0.59,5,1
2295,0.7,universitario,0.7,3,0
2458,0.3,universitario,0.54,0,0
3526,8.2,terciario,0.49,7,1
4080,14.4,universitario,0.65,2,1
1012,0.3,secundario,0.08,0,0
3246,7.2,universitario,0.7,5,1
1100,1.0,secundario,0.0,1,0
3754,3.0,terciario,0.71,11,0
2584,0.5,universitario,0.61,4,1
4177,22.2,terciario,0.72,3,1
2471,0.4,universitario,0.71,1,0
4939,1.4,universitario,0.95,22,1
134,0.0,terciario,0.02,0,0
3890,21.5,terciario,0.83,9,1
1121,1.1,terciario,0.29,1,0
1748,0.4,universitario,0.74,0,0
834,1.8,terciario,0.16,0,0
4683,1.5,universitario,0.93,24,0
3375,6.4,universitario,0.68,6,0
1721,0.8,universitario,0.59,0,0
3236,6.8,universitario,0.65,13,1
2790,5.2,terciario,0.66,5,0
2808,5.7,universitario,0.56,10,1
398,0.4,terciario,0.25,2,0
2440,0.4,universitario,0.74,3,1
754,0.9,terciario,0.09,0,0
3875,15.3,terciario,0.76,2,1
1356,0.6,secundario,0.36,0,0
4621,0.9,universitario,1.0,23,1
331,0.7,secundario,0.24,1,0
3377,3.2,universitario,0.73,5,0
3331,3.0,terciario,0.53,8,0
792,0.8,secundario,0.36,0,0
2855,4.5,universitario,0.73,13,1
4964,1.6,universitario,0.9,20,1
1070,0.8,secundario,0.23,1,0
734,0.8,terciario,0.16,0,0
4193,11.3,universitario,0.64,5,0
4178,17.7,terciario,0.79,6,1
1422,0.4,secundario,0.21,0,0
1932,0.4,universitario,0.52,0,0
2279,0.4,universitario,0.58,3,0
1518,0.1,secundario,0.16,0,0
1883,0.6,universitario,0.53,4,0
4816,1.5,universitario,0.98,23,1
4802,0.8,universitario,0.96,21,1
4219,16.1,terciario,0.78,4,1
1753,0.4,universitario,0.57,1,0
1584,0.4,secundario,0.17,1,0
2376,0.3,universitario,0.55,3,0
978,1.1,terciario,0.23,0,0
3626,7.9,universitario,0.81,6,0
2117,0.2,universitario,0.51,1,0
527,2.0,secundario,0.28,1,0
727,0.0,secundario,0.06,1,0
1690,0.2,universitario,0.54,0,0
2324,0.2,universitario,0.55,4,1
2318,0.6,universitario,0.48,3,0
4584,18.9,terciario,0.81,9,1
1586,0.5,secundario,0.13,1,0
1840,0.8,universitario,0.45,4,0
2581,0.6,universitario,0.5,0,0
2685,9.8,terciario,0.77,12,1
2994,3.0,terciario,0.6,13,1
250,0.8,secundario,0.32,2,0
777,0.0,terciario,0.03,1,0
1362,1.0,secundario,0.35,0,0
5018,0.7,universitario,1.0,24,1
113,0.1,secundario,0.21,1,0
1934,0.9,universitario,0.59,3,0
3349,5.4,terciario,0.64,13,0
1592,1.0,secundario,0.18,0,0
2828,6.0,terciario,0.66,8,0
3787,6.7,terciario,0.57,13,0
1525,1.1,secundario,0.23,0,0
4706,1.1,universitario,0.9,20,1
4696,1.4,universitario,0.9,22,1
832,0.9,secundario,0.28,2,0
1332,1.4,terciario,0.28,0,0
1735,0.7,universitario,0.48,2,0
4037,12.0,terciario,0.63,1,0
1311,1.5,secundario,0.28,1,0
3369,5.5,terciario,0.68,6,1
2035,0.5,universitario,0.62,1,0
654,0.6,secundario,0.1,1,0
592,0.8,secundario,0.07,1,0
3063,6.6,terciario,0.62,12,1
2430,0.4,universitario,0.48,2,0
2296,0.5,universitario,0.54,0,1
3165,5.9,terciario,0.64,5,0
758,1.1,terciario,0.28,0,0
2475,0.6,universitario,0.57,0,0
2326,0.7,universitario,0.5,1,0
4365,18.5,universitario,0.86,11,1
1271,2.2,secundario,0.15,1,0
233,0.8,terciario,0.31,0,0
572,1.6,secundario,0.23,0,0
3326,6.1,terciario,0.66,5,1
1506,0.7,secundario,0.4,1,0
2977,10.0,universitario,0.63,5,0
4605,1.6,universitario,1.0,23,0
4793,1.3,universitario,0.9,24,1
2927,6.0,terciario,0.57,7,1
388,1.8,secundario,0.24,0,0
1970,0.3,universitario,0.7,3,0
3215,6.8,universitario,0.68,7,1
3726,8.2,terciario,0.51,13,1
2413,0.1,universitario,0.52,2,0
5024,1.3,universitario,0.95,24,1
1719,0.6,universitario,0.65,1,0
1095,0.3,secundario,0.26,1,0
1904,0.7,universitario,0.67,3,0
2743,3.0,universitario,0.73,7,0
4903,0.8,universitario,0.95,23,1
3636,6.9,universitario,0.58,13,1
4932,0.5,universitario,0.92,21,1
4012,17.8,universitario,0.71,5,1
2208,0.0,universitario,0.64,0,0
3145,6.1,terciario,0.7,5,0
517,0.2,terciario,0.06,0,0
1078,0.5,secundario,0.4,0,0
